"SubNo"	"Hemisphere"	"ScalpLocation"	"CoilOrient"	"Block"	"Trial"	"Condition"	"Corr"	"Response"	"ACC"	"RT"	"Actual.orientation"	"Annoyance"	"Pain"	"Twitches"	"Visible.twitch"	"Av.RT.Prac"	"RT.Diff"	"Task"	"Congruence"	"Axes"	"HomLocation"	"RefLocation"
"29"	"1"	"1"	"100"	"W"	2	9	"incon_l"	"c"	"c"	"1"	0.512379	"W"	3	1	6	5	0.4339483	0.0784307000000001	"Flanker"	"Incong"	"E.W"	"Inion"	"100"
"30"	"1"	"1"	"100"	"W"	2	10	"cong_r"	"n"	"n"	"1"	0.426077	"W"	3	1	6	5	0.390825	0.035252	"Flanker"	"Cong"	"E.W"	"Inion"	"100"
"31"	"1"	"1"	"100"	"NW"	2	11	"incon_l"	"c"	"c"	"1"	0.43551	"NW"	3	2	6	5	0.4339483	0.00156170000000005	"Flanker"	"Incong"	"NW.SE"	"Inion"	"100"
"32"	"1"	"1"	"100"	"NW"	2	12	"incon_r"	"n"	"n"	"1"	0.476493	"NW"	3	2	6	5	0.4346445	0.0418485	"Flanker"	"Incong"	"NW.SE"	"Inion"	"100"
"33"	"1"	"1"	"100"	"NW"	2	13	"cong_l"	"c"	"c"	"1"	0.505948	"NW"	3	2	6	5	0.4105801	0.0953678999999999	"Flanker"	"Cong"	"NW.SE"	"Inion"	"100"
"34"	"1"	"1"	"100"	"NW"	2	14	"cong_r"	"n"	"n"	"1"	0.499408	"NW"	3	2	6	5	0.390825	0.108583	"Flanker"	"Cong"	"NW.SE"	"Inion"	"100"
"35"	"1"	"1"	"100"	"NW"	2	15	"cong_l"	"c"	"c"	"1"	0.429063	"NW"	3	2	6	5	0.4105801	0.0184829	"Flanker"	"Cong"	"NW.SE"	"Inion"	"100"
"36"	"1"	"1"	"100"	"S"	2	16	"incon_r"	"n"	"n"	"1"	0.419418	"N"	5	4	7	5	0.4346445	-0.0152265	"Flanker"	"Incong"	"N.S"	"Inion"	"100"
"37"	"1"	"1"	"100"	"S"	2	17	"cong_r"	"n"	"n"	"1"	0.448534	"N"	5	4	7	5	0.390825	0.057709	"Flanker"	"Cong"	"N.S"	"Inion"	"100"
"38"	"1"	"1"	"100"	"S"	2	18	"incon_l"	"c"	"c"	"1"	0.490233	"N"	5	4	7	5	0.4339483	0.0562847	"Flanker"	"Incong"	"N.S"	"Inion"	"100"
"39"	"1"	"1"	"100"	"S"	2	19	"cong_l"	"c"	"c"	"1"	0.515845	"N"	5	4	7	5	0.4105801	0.1052649	"Flanker"	"Cong"	"N.S"	"Inion"	"100"
"40"	"1"	"1"	"100"	"S"	2	20	"cong_r"	"n"	"n"	"1"	0.449178	"N"	5	4	7	5	0.390825	0.058353	"Flanker"	"Cong"	"N.S"	"Inion"	"100"
"41"	"1"	"1"	"25"	"W"	3	1	"incon_r"	"n"	"n"	"1"	0.587108	"W"	1	0	2	0	0.4346445	0.1524635	"Flanker"	"Incong"	"E.W"	"C3.4"	"25"
"42"	"1"	"1"	"25"	"W"	3	2	"incon_r"	"n"	"n"	"1"	0.501164	"W"	1	0	2	0	0.4346445	0.0665195000000001	"Flanker"	"Incong"	"E.W"	"C3.4"	"25"
"43"	"1"	"1"	"25"	"W"	3	3	"cong_r"	"n"	"n"	"1"	0.430709	"W"	1	0	2	0	0.390825	0.039884	"Flanker"	"Cong"	"E.W"	"C3.4"	"25"
"44"	"1"	"1"	"25"	"W"	3	4	"cong_l"	"c"	"c"	"1"	0.428045	"W"	1	0	2	0	0.4105801	0.0174648999999999	"Flanker"	"Cong"	"E.W"	"C3.4"	"25"
"45"	"1"	"1"	"25"	"W"	3	5	"incon_l"	"c"	"c"	"1"	0.453664	"W"	1	0	2	0	0.4339483	0.0197157000000001	"Flanker"	"Incong"	"E.W"	"C3.4"	"25"
"46"	"1"	"1"	"25"	"SW"	3	6	"cong_l"	"c"	"c"	"1"	0.416798	"SW"	1	0	2	0	0.4105801	0.00621789999999994	"Flanker"	"Cong"	"NE.SW"	"C3.4"	"25"
"47"	"1"	"1"	"25"	"SW"	3	7	"cong_r"	"n"	"n"	"1"	0.410662	"SW"	1	0	2	0	0.390825	0.019837	"Flanker"	"Cong"	"NE.SW"	"C3.4"	"25"
"48"	"1"	"1"	"25"	"SW"	3	8	"incon_l"	"c"	"c"	"1"	0.340627	"SW"	1	0	2	0	0.4339483	-0.0933212999999999	"Flanker"	"Incong"	"NE.SW"	"C3.4"	"25"
"49"	"1"	"1"	"25"	"SW"	3	9	"cong_r"	"n"	"n"	"1"	0.318373	"SW"	1	0	2	0	0.390825	-0.072452	"Flanker"	"Cong"	"NE.SW"	"C3.4"	"25"
"50"	"1"	"1"	"25"	"SW"	3	10	"incon_r"	"n"	"n"	"1"	0.504156	"SW"	1	0	2	0	0.4346445	0.0695115000000001	"Flanker"	"Incong"	"NE.SW"	"C3.4"	"25"
